City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,16.8,79,39,6.39,MX,1714202775
1,mugia,43.1041,-9.2179,10.91,78,100,8.53,ES,1714202775
2,bredasdorp,-34.5322,20.0403,17.28,78,5,7.35,ZA,1714202656
3,iqaluit,63.7506,-68.5145,-12.86,74,100,4.97,CA,1714202776
4,port moresby,-9.4431,147.1797,27.55,86,100,6.88,PG,1714202777
5,constantia,44.1833,28.65,14.09,67,80,4.49,RO,1714202777
6,niafunke,15.9322,-3.9906,30.23,12,3,4.78,ML,1714202778
7,bilibino,68.0546,166.4372,-3.18,86,21,1.1,RU,1714202778
8,west island,-12.1568,96.8225,27.65,80,31,8.1,CC,1714202779
9,albany,42.6001,-73.9662,1.85,73,6,0.77,US,1714202779
10,okhotsk,59.3833,143.3,0.07,99,100,8.87,RU,1714202780
11,tazovsky,67.4667,78.7,-1.17,85,91,2.46,RU,1714202780
12,aromashevo,56.8602,68.6375,16.15,41,31,5.6,RU,1714202781
13,port-aux-francais,-49.35,70.2167,7.16,97,100,11.76,TF,1714202782
14,puerto leguizamo,-0.1934,-74.7819,22.54,98,69,0.76,CO,1714202782
15,hilo,19.7297,-155.09,22.58,84,57,3.4,US,1714202563
16,klyuchi,52.2667,79.1667,13.06,27,0,4.7,RU,1714202783
17,dudinka,69.4058,86.1778,-6.89,87,100,3.34,RU,1714202784
18,nar'yan-mar,67.6713,53.087,0.13,100,100,5.28,RU,1714202784
19,margaret river,-33.95,115.0667,18.67,62,100,4.46,AU,1714202785
20,mili,6.0815,171.735,28.06,84,53,6.51,MH,1714202785
21,dolyns'ka,48.1104,32.7645,14.11,74,93,2.94,UA,1714202786
22,afaahiti,-17.75,-149.2833,26.3,84,59,9.37,PF,1714202786
23,ushuaia,-54.8,-68.3,-1.92,90,100,3.2,AR,1714202787
24,labrador city,52.9463,-66.9114,-12.49,95,87,1.75,CA,1714202787
25,el calafate,-50.3408,-72.2768,3.23,71,100,5.25,AR,1714202788
26,adamstown,-25.066,-130.1015,23.34,87,100,8.14,PN,1714202789
27,saipan,15.1355,145.701,27.81,81,0,7.5,MP,1714202789
28,zelenodolsk,55.8438,48.5178,20.95,62,100,6.67,RU,1714202790
29,port alfred,-33.5906,26.891,19.91,66,28,7.6,ZA,1714202790
30,edinburgh of the seven seas,-37.0676,-12.3116,14.56,76,42,17.03,SH,1714202791
31,atafu village,-8.5421,-172.5159,29.73,76,13,6.67,TK,1714202792
32,argo,37.6333,22.7333,19.05,43,13,2.01,GR,1714202792
33,wawa,9.9022,4.4192,29.63,62,83,4.3,NG,1714202793
34,hami,42.8,93.45,15.71,21,100,2.71,CN,1714202793
35,tsiombe,-25.3,45.4833,27.03,64,0,4.95,MG,1714202794
36,ust-nera,64.5667,143.2,-1.71,94,100,4.29,RU,1714202794
37,nova odesa,47.3078,31.7851,16.33,63,4,3.39,UA,1714202795
38,muynoq,43.7683,59.0214,19.91,30,0,7.73,UZ,1714202795
39,lobujya,27.95,86.8167,-1.87,49,100,5.01,NP,1714202796
40,ashland,40.8167,-82.2665,13.18,92,100,6.1,US,1714202797
41,anadyr,64.75,177.4833,-2.33,85,97,3.06,RU,1714202797
42,st. john's,47.5649,-52.7093,0.03,82,100,1.01,CA,1714202798
43,aasiaat,68.7098,-52.8699,-4.94,99,91,1.42,GL,1714202798
44,waitangi,-43.9535,-176.5597,12.33,64,92,11.63,NZ,1714202799
45,grytviken,-54.2811,-36.5092,4.28,99,100,1.0,GS,1714202799
46,obo,5.3998,26.4869,29.95,49,56,3.12,CF,1714202800
47,el granada,37.5027,-122.4694,10.17,87,41,8.81,US,1714202801
48,hermanus,-34.4187,19.2345,16.55,81,0,7.61,ZA,1714202801
49,egilsstadir,65.2653,-14.3948,1.83,99,100,4.85,IS,1714202802
50,xapuri,-10.6517,-68.5044,22.68,97,23,0.62,BR,1714202802
51,badger,64.8,-147.5333,5.57,83,98,2.41,US,1714202803
52,stanley,54.868,-1.6985,3.6,82,18,1.27,GB,1714202804
53,buckie,57.6757,-2.9624,5.29,78,82,2.5,GB,1714202804
54,poyarkovo,49.6,128.6833,10.36,23,100,6.71,RU,1714202805
55,arkalyk,50.2486,66.9114,13.31,26,9,5.03,KZ,1714202805
56,glace bay,46.1969,-59.957,-1.02,68,4,4.87,CA,1714202806
57,revda,56.801,59.9303,10.78,72,100,2.37,RU,1714202806
58,kavieng,-2.5744,150.7967,29.2,76,19,2.55,PG,1714202807
59,qaqortoq,60.7167,-46.0333,-0.82,96,100,2.11,GL,1714202807
60,puerto ayora,-0.7393,-90.3518,24.45,89,98,3.76,EC,1714202808
61,vorgashor,67.5833,63.95,-0.76,99,100,4.02,RU,1714202809
62,saint-philippe,-21.3585,55.7679,26.1,79,58,4.96,RE,1714202810
63,flying fish cove,-10.4217,105.6791,28.39,80,100,5.82,CX,1714202810
64,taoudenni,22.6783,-3.9836,28.09,25,9,3.05,ML,1714202811
65,phan rang-thap cham,11.5667,108.9833,35.2,46,97,5.89,VN,1714202811
66,westport,41.1415,-73.3579,6.89,71,3,2.38,US,1714202812
67,valky,49.8387,35.6207,17.03,71,32,5.22,UA,1714202812
68,polyarnyy,69.1989,33.4478,0.4,90,100,4.85,RU,1714202813
69,hawaiian paradise park,19.5933,-154.9731,22.18,82,38,3.08,US,1714202813
70,mateur,37.0405,9.6656,18.89,53,8,6.46,TN,1714202814
71,basciftlik,40.5469,37.1692,15.05,60,100,0.53,TR,1714202814
72,ekibastuz,51.6667,75.3667,12.7,25,0,3.86,KZ,1714202815
73,igarka,67.4667,86.5833,-1.65,89,100,4.28,RU,1714202816
74,lincheng,19.9078,109.6858,35.46,44,37,7.22,CN,1714202816
75,guaruja,-23.9931,-46.2564,22.97,86,5,0.96,BR,1714202817
76,blackmans bay,-43.0167,147.3167,13.72,67,51,0.72,AU,1714202817
77,papatowai,-46.5619,169.4708,11.22,87,100,5.52,NZ,1714202818
78,la'ie,21.6477,-157.9253,22.77,82,96,7.23,US,1714202818
79,marsh harbour,26.5412,-77.0636,22.3,71,85,9.26,BS,1714202819
80,ribeira grande,38.5167,-28.7,13.51,68,100,7.79,PT,1714202820
81,kiunga,-6.1219,141.2906,29.55,74,73,1.07,PG,1714202820
82,okha,53.5739,142.9478,0.97,63,66,3.29,RU,1714202821
83,invercargill,-46.4,168.35,10.78,91,98,4.85,NZ,1714202821
84,longyearbyen,78.2186,15.6401,-4.43,81,38,0.36,SJ,1714202540
85,bomdila,27.25,92.4,14.17,43,100,2.24,IN,1714202822
86,porto velho,-8.7619,-63.9039,23.19,99,66,1.1,BR,1714202823
87,mejit,10.2753,170.8646,27.79,79,88,8.07,MH,1714202823
88,la passe,45.5549,-0.8967,11.43,92,100,7.62,FR,1714202824
89,puerto deseado,-47.7503,-65.8938,5.03,50,86,6.6,AR,1714202825
90,hithadhoo,-0.6,73.0833,29.84,70,100,0.79,MV,1714202825
91,al fallujah,33.3538,43.7795,35.38,13,100,1.0,IQ,1714202826
92,sarupathar,26.1984,93.8094,37.62,22,70,2.64,IN,1714202826
93,puerto natales,-51.7236,-72.4875,4.3,80,100,8.85,CL,1714202827
94,connell,46.6635,-118.8611,11.63,62,98,5.19,US,1714202827
95,udachny,66.4167,112.4,-4.47,83,100,4.59,RU,1714202828
